id,content,date,language,title,normalized_rating,raw_rating,offerings,destinations,offerings_list,destinations_list
377380-203587519982,مكان جميل,2021-04-11T06:46:00+00:00,ara,12 Springs of Prophet Moses (A.S.),100.0,5.0,Tourism Attractions/ Sites,Tabuk,['Tourism Attractions/ Sites'],['Tabuk']
377380-172464779277,يمشي الحال,2021-04-15T08:27:00+00:00,ara,فندق ريحانة الورود,20.0,1.0,Accommodation,Abha,['Accommodation'],['Abha']
377380-203585058015,مررره مرتبة ونظييفه وتفتح النفس للجلسة فيها,2021-04-11T06:46:00+00:00,ara,Prince Hussam Park,100.0,5.0,Tourism Attractions/ Sites,Al Baha,['Tourism Attractions/ Sites'],['Al Baha']
377380-203587199266,قريه تراثيه جميله,2021-04-11T06:46:00+00:00,ara,Ushaiqer Heritage Village,100.0,5.0,Tourism Attractions/ Sites,"Madinah, Riyadh",['Tourism Attractions/ Sites'],"['Madinah', 'Riyadh']"
377380-203585125625,مكان رائع لصدع كبير حدث في الوادي. ممر ممتاز للمشي (hike) وينصح بلبس حذاء وملابس مقاومة للماء.,2021-04-11T06:46:00+00:00,ara,Wadi Lajab,80.0,4.0,Tourism Attractions/ Sites,Jizan,['Tourism Attractions/ Sites'],['Jizan']
377380-203587819837,مكان جميل ورائع,2021-04-11T06:46:00+00:00,ara,The Saudi National Museum - The Saudi National Museum,100.0,5.0,Tourism Attractions/ Sites,Madinah,['Tourism Attractions/ Sites'],['Madinah']
377380-203586635853,المكان روووعه,2021-04-11T06:46:00+00:00,ara,Dammam Corniche,100.0,5.0,Tourism Attractions/ Sites,"Khobar, Dammam",['Tourism Attractions/ Sites'],"['Khobar', 'Dammam']"
377380-203583057888,جميل,2021-04-11T06:46:00+00:00,ara,Al Ahsa National Park,100.0,5.0,Tourism Attractions/ Sites,Al Ahsa,['Tourism Attractions/ Sites'],['Al Ahsa']
377380-172684170184,اسعار نار لماذا وين تشجيع السياحه؟؟,2021-04-17T11:57:00+00:00,ara,منتجع شاطئ الدانة | Dana Beach Resort,20.0,1.0,Accommodation,"Khobar, Dammam",['Accommodation'],"['Khobar', 'Dammam']"
377380-203590485005,مدينه العاب الشي المميز فيها لعبة التوبوجان فيها جلسات يعيبها الغلاء قليلاً,2021-04-11T06:46:00+00:00,ara,Green Mountain Resort,60.0,3.0,Tourism Attractions/ Sites,Taif,['Tourism Attractions/ Sites'],['Taif']
377380-203588959943,جميل,2021-04-11T06:46:00+00:00,ara,Umluj Beach,80.0,4.0,Tourism Attractions/ Sites,Umluj,['Tourism Attractions/ Sites'],['Umluj']
377380-172770160199,راحة ومعاملة راقية وجمال المكان,2021-04-17T20:32:00+00:00,ara,"Makkah Clock Royal Tower, A Fairmont Hotel",100.0,5.0,Accommodation,Makkah,['Accommodation'],['Makkah']
377380-203590622126,مكان هدوء ورقاان ومنضر خلاب,2021-04-11T06:46:00+00:00,ara,Yanbu Lake Park,100.0,5.0,Tourism Attractions/ Sites,Yanbu,['Tourism Attractions/ Sites'],['Yanbu']
377380-203589247596,متنزه جميل,2021-04-11T06:46:00+00:00,ara,Park Alheefah,80.0,4.0,Tourism Attractions/ Sites,Tanomah,['Tourism Attractions/ Sites'],['Tanomah']
377380-173134442818,جيد بالنسبه لاسعارة,2021-04-19T08:36:00+00:00,ara,قصر النباريس للوحدات السكنية المفروشة,60.0,3.0,Accommodation,Jeddah,['Accommodation'],['Jeddah']
377380-173174221159,فخم جدا,2021-04-19T15:39:00+00:00,ara,The Ritz-Carlton Jeddah,100.0,5.0,Accommodation,Jeddah,['Accommodation'],['Jeddah']
377380-203582835148,جميل مناسب للعائلات,2021-04-11T06:46:00+00:00,ara,Uqair Beach,40.0,2.0,"Food & Beverage, Tourism Attractions/ Sites",Al Ahsa,"['Food & Beverage', 'Tourism Attractions/ Sites']",['Al Ahsa']
377380-173202828635,خدمه الغرفه جيده وكذلك يوجد بانيو,2021-04-19T20:41:00+00:00,ara,Accor Palace Hotel - فندق قصر أكور,100.0,5.0,Food & Beverage,Riyadh,['Food & Beverage'],['Riyadh']
377380-203583220450,السوده جميله بكل ماتحمله الكلمه الجو بارد وكذلك منظر الضباب حين يتكون . الحمد لله كل سنه اذهب اليها .,2021-04-11T06:46:00+00:00,ara,Jabal Sawda,100.0,5.0,Tourism Attractions/ Sites,Abha,['Tourism Attractions/ Sites'],['Abha']
377380-173191725820,جميل ورائع,2021-04-20T19:47:00+00:00,ara,Rosh Rayhaan by Rotana,100.0,5.0,Food & Beverage,Riyadh,['Food & Beverage'],['Riyadh']
377380-203587247505,الطريق لها طويل شوي حلو تكون الزيارة ومعك مؤونة عشان تجلس وتريح بالمكان على الشاطئ,2021-04-11T06:46:00+00:00,ara,Catalina Seaplane Wreckage,80.0,4.0,Tourism Attractions/ Sites,Tabuk,['Tourism Attractions/ Sites'],['Tabuk']
377380-203585723449,حلوه للاطفال,2021-04-11T06:46:00+00:00,ara,Al Hamra Park,60.0,3.0,Tourism Attractions/ Sites,Madinah,['Tourism Attractions/ Sites'],['Madinah']
377380-203587338076,جيد لحد ماء .☹ لازم تكون حميع اغراضك معك لا تتوهق لانه خارج الكرة الارضية ولافيه اي خدمات,2021-04-11T06:46:00+00:00,ara,King Salman Park,40.0,2.0,"Tourism Attractions/ Sites, Accommodation","Madinah, Riyadh","['Tourism Attractions/ Sites', 'Accommodation']","['Madinah', 'Riyadh']"
377380-173373844041,قديم جدا خدمات اقل من جيده مطعم متواضع لا انصح به ابدا,2021-04-21T05:08:00+00:00,ara,Madinah Hilton,20.0,1.0,Accommodation,Madinah,['Accommodation'],['Madinah']
377380-203597264111,اكثر من رائع,2021-04-11T06:46:00+00:00,ara,Arruddaf Park,100.0,5.0,Tourism Attractions/ Sites,Taif,['Tourism Attractions/ Sites'],['Taif']
377380-173646111636,ما يعطون رز زياده ويحطون بهارات اندومي,2021-04-23T08:16:00+00:00,ara,Hirrman Restaurant,20.0,1.0,Food & Beverage,Taif,['Food & Beverage'],['Taif']
377380-203587697745,حديقة الروضة,2021-04-11T06:46:00+00:00,ara,Rawdah Park,80.0,4.0,Tourism Attractions/ Sites,"Madinah, Riyadh",['Tourism Attractions/ Sites'],"['Madinah', 'Riyadh']"
377380-203589028117,يوجد فيه سد ابن معاويه لاتوجد خدمات,2021-04-11T06:46:00+00:00,ara,Saiysad National park,40.0,2.0,Tourism Attractions/ Sites,Taif,['Tourism Attractions/ Sites'],['Taif']
377380-203584628490,جميل وهادي,2021-04-11T06:46:00+00:00,ara,Umluj Beach,100.0,5.0,Tourism Attractions/ Sites,Umluj,['Tourism Attractions/ Sites'],['Umluj']
377380-203585035375,مواكبه للتطور الحضاري وشامل جميع الخدمات المكتبيه والترفيهية والمتحف الجميل 😌👌🏻,2021-04-11T06:46:00+00:00,ara,King Abdulaziz Center for World Culture - Ithra,100.0,5.0,Tourism Attractions/ Sites,"Khobar, Dammam",['Tourism Attractions/ Sites'],"['Khobar', 'Dammam']"
377380-173513348598,مطعم حلو لوبي حلووو تعامل ممتاز,2021-04-23T18:36:00+00:00,ara,Warwick Al-Khobar Hotel,100.0,5.0,Accommodation,Khobar,['Accommodation'],['Khobar']
377380-203587342638,منظم ولطيف ونظيف استمتعت جدا بزيارتي له هذا اليوم الجو كان جميل جدا صباح وظهر هذا اليوم ماكان ممتليء ومتوفر فيه العاب الاطفال وجلسات,2021-04-11T06:47:00+00:00,ara,King Salman Park,100.0,5.0,"Tourism Attractions/ Sites, Accommodation","Madinah, Riyadh","['Tourism Attractions/ Sites', 'Accommodation']","['Madinah', 'Riyadh']"
377380-203585917978,ماشاءالله نظافة وكل شي مرتب,2021-04-11T06:47:00+00:00,ara,Khobar Sea Front,100.0,5.0,Tourism Attractions/ Sites,Khobar,['Tourism Attractions/ Sites'],['Khobar']
377380-203587240478,Perfect place to visit,2021-04-11T06:47:00+00:00,eng,Catalina Seaplane Wreckage,100.0,5.0,Tourism Attractions/ Sites,Tabuk,['Tourism Attractions/ Sites'],['Tabuk']
377380-203585449835,مكان هادئ وجميل وفيه مطعم شعبيات رااائع,2021-04-11T06:47:00+00:00,ara,Jazan Heritage Village,100.0,5.0,Tourism Attractions/ Sites,Jizan,['Tourism Attractions/ Sites'],['Jizan']
377380-203584278574,"Very good, pleasant atmosphere. Good for daily walking, and good for family hangout.",2021-04-11T06:47:00+00:00,eng,Prince Ibn Jalawy Park,100.0,5.0,Tourism Attractions/ Sites,Khobar,['Tourism Attractions/ Sites'],['Khobar']
377380-173533639138,احبه والتسوق فيه ممتع,2021-04-24T15:53:00+00:00,ara,Aseer Mall,100.0,5.0,Retail,Abha,['Retail'],['Abha']
377380-173625676396,Wonderful room,2021-04-25T02:26:00+00:00,eng,AlRawda Almakyah Hotel,100.0,5.0,Accommodation,Makkah,['Accommodation'],['Makkah']
377380-173720679568,البوفية كله سلطات والسكن مريح,2021-04-25T06:04:00+00:00,ara,Golden Tulip Al Nasiriah hotel,40.0,2.0,Food & Beverage,Riyadh,['Food & Beverage'],['Riyadh']
377380-203583167542,جميل جدا نشكر القائمين عليه,2021-04-11T06:47:00+00:00,ara,Park Prince Mishari Bin Saud,100.0,5.0,Tourism Attractions/ Sites,Al Baha,['Tourism Attractions/ Sites'],['Al Baha']
377380-173764790862,فندق 5 نجوم خدماته متميزة، قريب جدا من المسجد النبوي,2021-04-25T16:57:00+00:00,ara,Pullman Zamzam Madina,100.0,5.0,Accommodation,Madinah,['Accommodation'],['Madinah']
377380-203585929805,السعر غالي جدا وأسعار البوفيه والوجبات مرتفع مع منع دخول مشروبات واكل والناس تجي من الصبح للمساء اتمن زياده المطاعم أو إدخال الطعام من مطاعم المدينه ويحتاج زياده خدمه وتوسيع وأضافه مسابح خارجيه وزياده المظلات والكراسي ونظافه التربه يوجد روائح كريهه تنبعث من تحت الكراسي وتجمعات مياه أو عصائر ولابد من متابعه الأطفال كي لايستخدمو التربه للتبول وغيره... هناك جهود وعمال مستمرين في متابعه الترتيب وللنظافه ولاكن الروائح كانت مثيره لاستغراب الكثير.. نحتاج مكان نظيف وصحي.... شكرا لكم واتمن لكم كل خير.... للمناقشه... أو التعقيب... انتظر ووقاي لكم...,2021-04-11T06:47:00+00:00,ara,Yam Beach,100.0,5.0,Tourism Attractions/ Sites,KAEC,['Tourism Attractions/ Sites'],['KAEC']
377380-203584858093,Good place for time pass for kids.,2021-04-11T06:47:00+00:00,eng,Dolphin Village Dammam,80.0,4.0,Tourism Attractions/ Sites,"Khobar, Dammam",['Tourism Attractions/ Sites'],"['Khobar', 'Dammam']"
377380-203587206829,مكان تراثي جميل جدا,2021-04-11T06:47:00+00:00,ara,Ushaiqer Heritage Village,100.0,5.0,Tourism Attractions/ Sites,"Madinah, Riyadh",['Tourism Attractions/ Sites'],"['Madinah', 'Riyadh']"
377380-173715966269,Amazing place for the holidays. Love It,2021-04-26T04:44:00+00:00,eng,Mövenpick Resort Al Nawras Jeddah,100.0,5.0,Accommodation,Jeddah,['Accommodation'],['Jeddah']
377380-173748372785,فندق مميز مقابل النظافة والسعر والهدوء واختص بالشكر موظف الاستقبال الاخ زياد لحسن استقابله وتعامله,2021-04-26T15:28:00+00:00,ara,فندق دوناتيلو Donatello Hotel,100.0,5.0,Accommodation,Jizan,['Accommodation'],['Jizan']
377380-203585572143,مكان رائع,2021-04-11T06:47:00+00:00,ara,"King Abdullah Park, Sea front",100.0,5.0,"Tourism Attractions/ Sites, Accommodation","Khobar, Madinah, Riyadh, Dammam","['Tourism Attractions/ Sites', 'Accommodation']","['Khobar', 'Madinah', 'Riyadh', 'Dammam']"
377380-203583051065,موقع أثري مرمم بشكل رائع ينقصه خدمات الإرشاد السياحي,2021-04-11T06:47:00+00:00,ara,Marid Castle,100.0,5.0,Tourism Attractions/ Sites,Sakaka / AlJouf,['Tourism Attractions/ Sites'],['Sakaka / AlJouf']
377380-203584635098,Beautiful ❤,2021-04-11T06:47:00+00:00,eng,Umluj Beach,100.0,5.0,Tourism Attractions/ Sites,Umluj,['Tourism Attractions/ Sites'],['Umluj']
377380-203588224078,بصراحة رووووعة ويستحق الزيارة عندهم لحم المندي من الاخرررر,2021-04-11T06:47:00+00:00,ara,Al-Qaryah Al-Turathiyah Restaurant,80.0,4.0,Food & Beverage,Tabuk,['Food & Beverage'],['Tabuk']
377380-172173568992,I love it place this is beautiful masque in the world,2021-04-11T06:47:00+00:00,eng,Masjid al-Haram,100.0,5.0,Religious,Makkah,['Religious'],['Makkah']
377380-173889165542,ممتاز جدا الشكر للجميع,2021-04-27T04:28:00+00:00,ara,Darhadi Hotel,100.0,5.0,Accommodation,Makkah,['Accommodation'],['Makkah']
377380-173773349738,فندق يمتاز بنظافته والهدوء و استقباله الرائع وتعاملهم الراقي,2021-04-27T12:10:00+00:00,ara,Midan Hotel,100.0,5.0,Accommodation,Makkah,['Accommodation'],['Makkah']
377380-203584976805,ارتفاع شاهق وطبيعه جنوبيه,2021-04-11T06:47:00+00:00,ara,Al Sahab Park,100.0,5.0,Tourism Attractions/ Sites,Al Namas,['Tourism Attractions/ Sites'],['Al Namas']
377380-203589245128,وقت الربيع تكون من اجمل ما يكون هذي الصور في شهر نوفمبر,2021-04-11T06:47:00+00:00,ara,Park Alheefah,80.0,4.0,Tourism Attractions/ Sites,Tanomah,['Tourism Attractions/ Sites'],['Tanomah']
377380-203586126274,مساحة كبيرة، العاب اطفال رائعة، تعتمد للزيارات القادمة بإذن الله,2021-04-11T06:47:00+00:00,ara,Falah Park,100.0,5.0,Tourism Attractions/ Sites,Madinah,['Tourism Attractions/ Sites'],['Madinah']
377380-174019291365,ماشاء الله تبارك الرحمن الفندق اكثر من رائع وفخم ونظيف جدا وموظفين الاستقبال جدا رائعين انصح فيه بشدة,2021-04-28T14:04:00+00:00,ara,Ruve Jeddah Hotel,100.0,5.0,Accommodation,Jeddah,['Accommodation'],['Jeddah']
377380-203582869090,راااااائع المكان والتنظيم جميل جدا للتصوير شي خرافي Recomend it for sure👍🏻👍🏻,2021-04-11T06:47:00+00:00,ara,Al-Qara Hill,80.0,4.0,Tourism Attractions/ Sites,Al Ahsa,['Tourism Attractions/ Sites'],['Al Ahsa']
377380-174034517930,مغلق ويتم تغيير الفندق دون اشعار الضيف.إدارة فاشلة من الاخر,2021-04-28T18:49:00+00:00,ara,DoubleTree by Hilton Makkah Jabal Omar,20.0,1.0,Accommodation,Makkah,['Accommodation'],['Makkah']
377380-203586635763,مرتب ونظيف,2021-04-11T06:47:00+00:00,ara,Dammam Corniche,60.0,3.0,Tourism Attractions/ Sites,"Khobar, Dammam",['Tourism Attractions/ Sites'],"['Khobar', 'Dammam']"
377380-203587563864,مقفل من رمضان ١٤٤١ عشان كورونا المتحف خسارة كان نفسي اشوف,2021-04-11T06:47:00+00:00,ara,The Saudi National Museum - The Saudi National Museum,60.0,3.0,Tourism Attractions/ Sites,Madinah,['Tourism Attractions/ Sites'],['Madinah']
377380-174044976482,ممتاز,2021-04-28T22:24:00+00:00,ara,"Makkah Clock Royal Tower, A Fairmont Hotel",100.0,5.0,Accommodation,Makkah,['Accommodation'],['Makkah']
377380-203585727210,شي جميل مرتب مفروض في كل انحاء الرياض مسطحات الخضراء,2021-04-11T06:47:00+00:00,ara,Al Hamra Park,100.0,5.0,Tourism Attractions/ Sites,Madinah,['Tourism Attractions/ Sites'],['Madinah']
377380-203597272894,منتزه رائع جدا ..,2021-04-11T06:47:00+00:00,ara,Arruddaf Park,100.0,5.0,Tourism Attractions/ Sites,Taif,['Tourism Attractions/ Sites'],['Taif']
377380-173978211326,متواضع نظيف لاكن الطعام بخدمة الغرف دون المستوى ولون الإضائه الابيض بالغرف هو اسوئ ما في الفندق,2021-04-29T05:05:00+00:00,ara,Novotel Suites Riyadh Dyar,60.0,3.0,"Accommodation, Food & Beverage",Riyadh,"['Accommodation', 'Food & Beverage']",['Riyadh']
377380-203588641240,جميل والاجواء في فندق ارمادا اكثر من رائعة,2021-04-11T06:47:00+00:00,ara,Al Hada Cable Car,60.0,3.0,Tourism Attractions/ Sites,Taif,['Tourism Attractions/ Sites'],['Taif']
377380-203591482060,حديقة الملك عبدالله بالرياض من أفضل الأماكن السياحية. انصح الجميع بزيارتها,2021-04-11T06:47:00+00:00,ara,King Abdullah Park,100.0,5.0,"Tourism Attractions/ Sites, Accommodation","Madinah, Riyadh","['Tourism Attractions/ Sites', 'Accommodation']","['Madinah', 'Riyadh']"
377380-203588505763,Strongly recommend.,2021-04-11T06:47:00+00:00,eng,Al-Waba Crater,100.0,5.0,Tourism Attractions/ Sites,Taif,['Tourism Attractions/ Sites'],['Taif']
377380-203587820310,مرة ممتاز والله يفتح النفس لاكن متحف نفسه كان مغلق,2021-04-11T06:47:00+00:00,ara,The Saudi National Museum - The Saudi National Museum,100.0,5.0,Tourism Attractions/ Sites,Madinah,['Tourism Attractions/ Sites'],['Madinah']
377380-174035985441,فندق جميل جدا ... والموظفين رائعين,2021-04-29T19:17:00+00:00,ara,Midan Hotel,100.0,5.0,Accommodation,Makkah,['Accommodation'],['Makkah']
377380-203588224637,nice.very beautiful,2021-04-11T06:47:00+00:00,eng,Al Faisaliah garden,100.0,5.0,"Food & Beverage, Tourism Attractions/ Sites",Taif,"['Food & Beverage', 'Tourism Attractions/ Sites']",['Taif']
377380-203587507468,Historical place need some arrangement,2021-04-11T06:47:00+00:00,eng,12 Springs of Prophet Moses (A.S.),100.0,5.0,Tourism Attractions/ Sites,Tabuk,['Tourism Attractions/ Sites'],['Tabuk']
377380-174152230418,ممتاز,2021-04-30T05:29:00+00:00,ara,Madinah Hilton,100.0,5.0,Accommodation,Madinah,['Accommodation'],['Madinah']
377380-203582820578,شاطئ العقير ، يبعد عن الأحساء تقريبا ثمانين كيلا . بعد التجديد والتحسين والتطوير أصبح مقصدا سياحيا رائعا ، اجتمع فيه البحر بسيف رملي نظيف مع مسطحات خضراء وأشجار وجلسات ومظلات وكبائن ومواقد للشواء ودورات مياه . المكان يستحق أن تجعل له يوما كاملا . ملاحظة : يجب عليك اختيار الوقت المناسب للرحلة لكي تستمتع بالأجواء العليلة . ولا تتأخر في المجيء لكي تجد مكانا مناسبا . ولا تنس احضار كل ما يلزم لاكتمال الرحلة من أدوات الجلوس والمتعة والسباحة والطعام والشراب وغيرها . يوجد قسم ضيافة خاص بالأمانة في الجهة شمالية .,2021-04-11T06:47:00+00:00,ara,Uqair Beach,60.0,3.0,"Food & Beverage, Tourism Attractions/ Sites",Al Ahsa,"['Food & Beverage', 'Tourism Attractions/ Sites']",['Al Ahsa']
377380-203590492610,جميل جداًً,2021-04-11T06:47:00+00:00,ara,Green Mountain Resort,100.0,5.0,Tourism Attractions/ Sites,Taif,['Tourism Attractions/ Sites'],['Taif']
377380-203587692340,ممتاز,2021-04-11T06:47:00+00:00,ara,Rawdah Park,100.0,5.0,Tourism Attractions/ Sites,"Madinah, Riyadh",['Tourism Attractions/ Sites'],"['Madinah', 'Riyadh']"
377380-203583217417,مكان رائع جدا,2021-04-11T06:47:00+00:00,ara,Jabal Sawda,60.0,3.0,Tourism Attractions/ Sites,Abha,['Tourism Attractions/ Sites'],['Abha']
377380-203585459627,مكان جميل وهاااادئ.. ودائما مزدحم,2021-04-11T06:47:00+00:00,ara,Abu Kheyal Park,100.0,5.0,Tourism Attractions/ Sites,Abha,['Tourism Attractions/ Sites'],['Abha']
377380-203583043265,ذكريات الطفوله,2021-04-11T06:47:00+00:00,ara,Al Ahsa National Park,100.0,5.0,Tourism Attractions/ Sites,Al Ahsa,['Tourism Attractions/ Sites'],['Al Ahsa']
377380-203584376758,هدوء وجميل جدا,2021-04-11T06:47:00+00:00,ara,Modon Lake Park,100.0,5.0,Tourism Attractions/ Sites,"Khobar, Dammam",['Tourism Attractions/ Sites'],"['Khobar', 'Dammam']"
377380-203585730381,رايقة,2021-04-11T06:48:00+00:00,ara,Al Hamra Park,100.0,5.0,Tourism Attractions/ Sites,Madinah,['Tourism Attractions/ Sites'],['Madinah']
377380-203588648251,Terrific !!! Loved it ❤❤,2021-04-11T06:48:00+00:00,eng,Al Hada Cable Car,100.0,5.0,Tourism Attractions/ Sites,Taif,['Tourism Attractions/ Sites'],['Taif']
377380-174284568517,Good clean rooms,2021-05-02T19:05:00+00:00,eng,"Crowne Plaza Riyadh Minhal, an IHG Hotel",80.0,4.0,Food & Beverage,Riyadh,['Food & Beverage'],['Riyadh']
377380-203585032129,استمتعنا .. كانت رحلة فريده من نوعها.. مبهر من كل ناحيه😍 لا يعيبه الا الموسيقى في بعض الاركان 👎🏻💔,2021-04-11T06:48:00+00:00,ara,King Abdulaziz Center for World Culture - Ithra,80.0,4.0,Tourism Attractions/ Sites,"Khobar, Dammam",['Tourism Attractions/ Sites'],"['Khobar', 'Dammam']"
377380-203589031790,"It is zero .... How can we called NATIONAL PARK... there is nothing , you can only make barbecue but at the end , the playground for the children are on rocks and sand , which is not safe for the children , the games are in steel under the hot sun ..... I don’t recommended it , oooh sorry there is also one river , the water is black !",2021-04-11T06:48:00+00:00,eng,Saiysad National park,20.0,1.0,Tourism Attractions/ Sites,Taif,['Tourism Attractions/ Sites'],['Taif']
377380-203585054616,طبيعة المكان ووفرة الجلسات والخدمات,2021-04-11T06:48:00+00:00,ara,Prince Hussam Park,100.0,5.0,Tourism Attractions/ Sites,Al Baha,['Tourism Attractions/ Sites'],['Al Baha']
377380-203597258204,مكان جميل جدا,2021-04-11T06:48:00+00:00,ara,Arruddaf Park,100.0,5.0,Tourism Attractions/ Sites,Taif,['Tourism Attractions/ Sites'],['Taif']
377380-203588952784,روعه وممتاز للسباحه,2021-04-11T06:48:00+00:00,ara,Umluj Beach,100.0,5.0,Tourism Attractions/ Sites,Umluj,['Tourism Attractions/ Sites'],['Umluj']
377380-174472097204,رائع بكل ماتعنيه الكلمة خيال غير طبيعي استقبال مطعم فندق كل شيئ,2021-05-04T01:32:00+00:00,ara,InterContinental Dar al Tawhid Makkah,100.0,5.0,Accommodation,Makkah,['Accommodation'],['Makkah']
377380-203584861249,حلو العرض كان مدته نص ساعه بس غالي تقريبا ٢٩ لو يخلونه ١٥ بيكون سعره حلو,2021-04-11T06:48:00+00:00,ara,Dolphin Village Dammam,80.0,4.0,Tourism Attractions/ Sites,"Khobar, Dammam",['Tourism Attractions/ Sites'],"['Khobar', 'Dammam']"
377380-203588208628,تحتاج عنايه اكثر و مكافحة الحشرات,2021-04-11T06:48:00+00:00,ara,Al Faisaliah garden,40.0,2.0,"Food & Beverage, Tourism Attractions/ Sites",Taif,"['Food & Beverage', 'Tourism Attractions/ Sites']",['Taif']
377380-174551052830,ممتاز ومريح جدا بس لو يحلون مشكلة ضعف شبكة الجوال داخل الغرف اعطيه 10/10,2021-05-04T16:51:00+00:00,ara,M Hotel Al Dana Makkah by Millennium,100.0,5.0,Accommodation,Makkah,['Accommodation'],['Makkah']
377380-203585567993,جميل جدا روعه,2021-04-11T06:48:00+00:00,ara,"King Abdullah Park, Sea front",100.0,5.0,"Tourism Attractions/ Sites, Accommodation","Khobar, Madinah, Riyadh, Dammam","['Tourism Attractions/ Sites', 'Accommodation']","['Khobar', 'Madinah', 'Riyadh', 'Dammam']"
377380-203588505899,It is super place and those who love hiking will love to enjoy it here,2021-04-11T06:48:00+00:00,eng,Al-Waba Crater,100.0,5.0,Tourism Attractions/ Sites,Taif,['Tourism Attractions/ Sites'],['Taif']
377380-203589383017,المكان هو اساس كورنيش الهيئة الملكية قديمآ .. الأن أصبح شبه مهجور ومافيه اهتمام بالعشب والمكان بعد افتتاح الواجهة الجديده اتوقع انه ماراح يترك من قبل الهيئه ولها تخطيطها المستقبلي في جعل ذلك المكان افضل من ماكان من الأخر ينبع جميله وتستحق الزياره 👌 The place is the basis of the ancient Royal Commission Corniche. Now it is almost deserted and there is no interest in the grass and the place after the opening of the new facade I expect that it will not be left by the authority and it has its future planning in making that place better than it was From the other stems are beautiful and worth a visit 👌,2021-04-11T06:48:00+00:00,ara,Alsubh Park,100.0,5.0,Tourism Attractions/ Sites,Yanbu,['Tourism Attractions/ Sites'],['Yanbu']
377380-203591489637,مريح,2021-04-11T06:48:00+00:00,ara,King Abdullah Park,100.0,5.0,"Tourism Attractions/ Sites, Accommodation","Madinah, Riyadh","['Tourism Attractions/ Sites', 'Accommodation']","['Madinah', 'Riyadh']"
